shot_id,production,episode_or_reel,scene,vfx_vendor,status,priority,due_at,render_job_id,dependency_shot_ids
PAL-001,PALS,R1,SC-001,HELIOSFORGE,failed,4,2026-09-06T17:00:00Z,rq-pal-001,
PAL-002,PALS,R1,SC-002,PRISMWORKS,delivered,2,2026-09-06T18:00:00Z,rq-pal-002,PAL-001
PAL-003,PALS,R1,SC-003,VANTASTUDIO,review,3,2026-09-06T19:00:00Z,rq-pal-003,
PAL-004,PALS,R1,SC-004,LUMENFRAME,rendering,3,2026-09-06T20:00:00Z,rq-pal-004,PAL-003
PAL-005,PALS,R1,SC-005,HELIOSFORGE,failed,5,2026-09-06T21:00:00Z,rq-pal-005,PAL-001
PAL-006,PALS,R2,SC-006,PRISMWORKS,queued,2,2026-09-07T17:00:00Z,rq-pal-006,
PAL-007,PALS,R2,SC-007,VANTASTUDIO,approved,1,2026-09-07T18:00:00Z,rq-pal-007,
PAL-008,PALS,R2,SC-008,LUMENFRAME,review,3,2026-09-07T19:00:00Z,rq-pal-008,PAL-007
PAL-009,PALS,R2,SC-009,HELIOSFORGE,rendering,4,2026-09-07T20:00:00Z,rq-pal-009,PAL-005
PAL-010,PALS,R2,SC-010,PRISMWORKS,queued,2,2026-09-07T21:00:00Z,rq-pal-010,
